,index,Actor,ActorID,Film,Year,Votes,Rating,FilmID,in_endgame
67,7126,Samuel L. Jackson,nm0000168,The Hateful Eight,2015,525390,7.8,tt3460252,1
68,7127,Samuel L. Jackson,nm0000168,Barely Lethal,2015,20223,5.4,tt1731701,1
69,7128,Samuel L. Jackson,nm0000168,Chi-Raq,2015,9313,5.7,tt4594834,1
70,7129,Samuel L. Jackson,nm0000168,Captain America: The Winter Soldier,2014,747142,7.7,tt1843866,1
71,7130,Samuel L. Jackson,nm0000168,Kingsman: The Secret Service,2014,595809,7.7,tt2802144,1
72,7131,Samuel L. Jackson,nm0000168,RoboCop,2014,217294,6.1,tt1234721,1
73,7132,Samuel L. Jackson,nm0000168,Big Game,2014,31448,5.4,tt2088003,1
74,7133,Samuel L. Jackson,nm0000168,Reasonable Doubt,2014,18936,5.7,tt2304953,1
75,7134,Samuel L. Jackson,nm0000168,Kite,2014,5765,4.4,tt2044801,1
76,7135,Samuel L. Jackson,nm0000168,Turbo,2013,85892,6.4,tt1860353,1
77,7136,Samuel L. Jackson,nm0000168,Old Boy,2013,69860,5.7,tt1321511,1
78,7137,Samuel L. Jackson,nm0000168,Django Unchained,2012,1376145,8.4,tt1853728,1
79,7138,Samuel L. Jackson,nm0000168,The Avengers,2012,1273277,8.0,tt0848228,1
80,7139,Samuel L. Jackson,nm0000168,Meeting Evil,2012,11794,5.3,tt1810697,1
81,7140,Samuel L. Jackson,nm0000168,The Samaritan,2012,9516,5.6,tt1867093,1
82,7141,Samuel L. Jackson,nm0000168,Zambezia,2012,6728,5.8,tt1488181,1
83,7142,Samuel L. Jackson,nm0000168,Thor,2011,756855,7.0,tt0800369,1
84,7143,Samuel L. Jackson,nm0000168,Captain America: The First Avenger,2011,751881,6.9,tt0458339,1
85,7144,Samuel L. Jackson,nm0000168,Iron Man 2,2010,732064,7.0,tt1228705,1
86,7145,Samuel L. Jackson,nm0000168,The Other Guys,2010,245028,6.7,tt1386588,1
87,7146,Samuel L. Jackson,nm0000168,Unthinkable,2010,84339,7.1,tt0914863,1
88,7147,Samuel L. Jackson,nm0000168,Quantum Quest: A Cassini Space Odyssey,2010,314,5.2,tt0312305,1
89,7148,Samuel L. Jackson,nm0000168,Inglourious Basterds,2009,1285359,8.3,tt0361748,1
90,7149,Samuel L. Jackson,nm0000168,Astro Boy,2009,33578,6.3,tt0375568,1
91,7150,Samuel L. Jackson,nm0000168,Mother and Child,2009,11634,7.2,tt1121977,1
92,7151,Samuel L. Jackson,nm0000168,Iron Man,2008,951095,7.9,tt0371746,1
93,7152,Samuel L. Jackson,nm0000168,Jumper,2008,288264,6.1,tt0489099,1
94,7153,Samuel L. Jackson,nm0000168,The Spirit,2008,59622,4.8,tt0831887,1
95,7154,Samuel L. Jackson,nm0000168,Star Wars: The Clone Wars,2008,59286,5.9,tt1185834,1
96,7155,Samuel L. Jackson,nm0000168,Lakeview Terrace,2008,49260,6.1,tt0947802,1
97,7156,Samuel L. Jackson,nm0000168,Soul Men,2008,10455,6.4,tt1111948,1
98,7157,Samuel L. Jackson,nm0000168,Gospel Hill,2008,860,5.5,tt0810880,1
99,7158,Samuel L. Jackson,nm0000168,1408,2007,256756,6.8,tt0450385,1
100,7159,Samuel L. Jackson,nm0000168,Cleaner,2007,37527,6.1,tt0896798,1
101,7160,Samuel L. Jackson,nm0000168,Resurrecting the Champ,2007,20148,6.7,tt0416185,1
102,7161,Samuel L. Jackson,nm0000168,Snakes on a Plane,2006,133165,5.4,tt0417148,1
103,7162,Samuel L. Jackson,nm0000168,Black Snake Moan,2006,61378,6.9,tt0462200,1
104,7163,Samuel L. Jackson,nm0000168,Freedomland,2006,15535,5.1,tt0349467,1
105,7164,Samuel L. Jackson,nm0000168,Home of the Brave,2006,10500,5.6,tt0763840,1
106,7165,Samuel L. Jackson,nm0000168,Farce of the Penguins,2006,4723,4.1,tt0488539,1
107,7166,Samuel L. Jackson,nm0000168,Star Wars: Episode III - Revenge of the Sith,2005,719510,7.5,tt0121766,1
108,7167,Samuel L. Jackson,nm0000168,Coach Carter,2005,130661,7.3,tt0393162,1
109,7168,Samuel L. Jackson,nm0000168,xXx: State of the Union,2005,67691,4.5,tt0329774,1
110,7169,Samuel L. Jackson,nm0000168,The Man,2005,24934,5.6,tt0399327,1
111,7170,Samuel L. Jackson,nm0000168,Kill Bill: Vol. 2,2004,690444,8.0,tt0378194,1
112,7171,Samuel L. Jackson,nm0000168,The Incredibles,2004,662752,8.0,tt0317705,1
113,7172,Samuel L. Jackson,nm0000168,Twisted,2004,20606,5.3,tt0315297,1
114,7173,Samuel L. Jackson,nm0000168,In My Country,2004,2550,6.0,tt0349260,1
115,7174,Samuel L. Jackson,nm0000168,S.W.A.T.,2003,139187,6.0,tt0257076,1
116,7175,Samuel L. Jackson,nm0000168,Basic,2003,59697,6.5,tt0264395,1
117,7176,Samuel L. Jackson,nm0000168,Star Wars: Episode II - Attack of the Clones,2002,649188,6.5,tt0121765,1
118,7177,Samuel L. Jackson,nm0000168,xXx,2002,173892,5.9,tt0295701,1
119,7178,Samuel L. Jackson,nm0000168,Changing Lanes,2002,67371,6.5,tt0264472,1
120,7179,Samuel L. Jackson,nm0000168,No Good Deed,2002,7010,5.5,tt0292610,1
121,7180,Samuel L. Jackson,nm0000168,Formula 51,2001,47800,6.3,tt0227984,1
122,7181,Samuel L. Jackson,nm0000168,The Caveman's Valentine,2001,6349,5.8,tt0182000,1
123,7182,Samuel L. Jackson,nm0000168,Unbreakable,2000,390007,7.3,tt0217869,1
124,7183,Samuel L. Jackson,nm0000168,Shaft,2000,73934,5.9,tt0162650,1
125,7184,Samuel L. Jackson,nm0000168,Rules of Engagement,2000,44654,6.4,tt0160797,1
126,7185,Samuel L. Jackson,nm0000168,Star Wars: Episode I - The Phantom Menace,1999,738342,6.5,tt0120915,1
127,7186,Samuel L. Jackson,nm0000168,Deep Blue Sea,1999,125984,5.9,tt0149261,1
128,7187,Samuel L. Jackson,nm0000168,The Negotiator,1998,131641,7.3,tt0120768,1
129,7188,Samuel L. Jackson,nm0000168,Sphere,1998,99869,6.1,tt0120184,1
130,7189,Samuel L. Jackson,nm0000168,Out of Sight,1998,86895,7.0,tt0120780,1
131,7190,Samuel L. Jackson,nm0000168,The Red Violin,1998,31803,7.6,tt0120802,1
132,7191,Samuel L. Jackson,nm0000168,Jackie Brown,1997,319754,7.5,tt0119396,1
133,7192,Samuel L. Jackson,nm0000168,One Eight Seven,1997,22312,6.7,tt0118531,1
134,7193,Samuel L. Jackson,nm0000168,Eve's Bayou,1997,8944,7.3,tt0119080,1
135,7194,Samuel L. Jackson,nm0000168,A Time to Kill,1996,134968,7.5,tt0117913,1
136,7195,Samuel L. Jackson,nm0000168,The Long Kiss Goodnight,1996,74265,6.8,tt0116908,1
137,7196,Samuel L. Jackson,nm0000168,Hard Eight,1996,43201,7.2,tt0119256,1
138,7197,Samuel L. Jackson,nm0000168,Trees Lounge,1996,13997,7.1,tt0117958,1
139,7198,Samuel L. Jackson,nm0000168,The Great White Hype,1996,8437,5.5,tt0116448,1
140,7199,Samuel L. Jackson,nm0000168,Die Hard with a Vengeance,1995,366489,7.6,tt0112864,1
141,7200,Samuel L. Jackson,nm0000168,Kiss of Death,1995,16992,5.9,tt0113552,1
142,7201,Samuel L. Jackson,nm0000168,Fluke,1995,6547,6.7,tt0113089,1
143,7202,Samuel L. Jackson,nm0000168,Losing Isaiah,1995,5507,6.5,tt0113691,1
144,7203,Samuel L. Jackson,nm0000168,Pulp Fiction,1994,1847827,8.9,tt0110912,1
145,7204,Samuel L. Jackson,nm0000168,Fresh,1994,12272,7.6,tt0109842,1
146,7205,Samuel L. Jackson,nm0000168,The Search for One-eye Jimmy,1994,1568,6.2,tt0117577,1
147,7206,Samuel L. Jackson,nm0000168,The New Age,1994,1066,5.6,tt0110649,1
148,7207,Samuel L. Jackson,nm0000168,Hail Caesar,1994,1054,3.3,tt0109969,1
149,7208,Samuel L. Jackson,nm0000168,Jurassic Park,1993,877381,8.1,tt0107290,1
150,7209,Samuel L. Jackson,nm0000168,True Romance,1993,208839,7.9,tt0108399,1
151,7210,Samuel L. Jackson,nm0000168,Menace II Society,1993,52649,7.5,tt0107554,1
152,7211,Samuel L. Jackson,nm0000168,Loaded Weapon 1,1993,44752,6.2,tt0107659,1
153,7212,Samuel L. Jackson,nm0000168,Amos & Andrew,1993,8549,5.7,tt0106266,1
154,7213,Samuel L. Jackson,nm0000168,Patriot Games,1992,104111,6.9,tt0105112,1
155,7214,Samuel L. Jackson,nm0000168,Juice,1992,24370,7.1,tt0104573,1
156,7215,Samuel L. Jackson,nm0000168,White Sands,1992,7038,6.0,tt0105813,1
157,7216,Samuel L. Jackson,nm0000168,Fathers & Sons,1992,469,4.9,tt0104240,1
158,7217,Samuel L. Jackson,nm0000168,Jungle Fever,1991,17258,6.6,tt0102175,1
159,7218,Samuel L. Jackson,nm0000168,Johnny Suede,1991,3759,5.8,tt0104567,1
160,7219,Samuel L. Jackson,nm0000168,Strictly Business,1991,1852,5.5,tt0102996,1
161,7220,Samuel L. Jackson,nm0000168,Jumpin' at the Boneyard,1991,461,6.0,tt0102174,1
162,7221,Samuel L. Jackson,nm0000168,Goodfellas,1990,1034012,8.7,tt0099685,1
163,7222,Samuel L. Jackson,nm0000168,The Exorcist III,1990,26397,6.4,tt0099528,1
164,7223,Samuel L. Jackson,nm0000168,Mo' Better Blues,1990,11431,6.6,tt0100168,1
165,7224,Samuel L. Jackson,nm0000168,A Shock to the System,1990,4330,6.7,tt0100602,1
166,7225,Samuel L. Jackson,nm0000168,Betsy's Wedding,1990,3420,5.7,tt0099128,1
167,7226,Samuel L. Jackson,nm0000168,Def by Temptation,1990,1305,4.7,tt0099395,1
168,7227,Samuel L. Jackson,nm0000168,The Return of Superfly,1990,353,4.9,tt0100480,1
169,7228,Samuel L. Jackson,nm0000168,Do the Right Thing,1989,91259,8.0,tt0097216,1
170,7229,Samuel L. Jackson,nm0000168,Sea of Love,1989,38387,6.8,tt0098273,1
171,7230,Samuel L. Jackson,nm0000168,Coming to America,1988,191223,7.1,tt0094898,1
172,7231,Samuel L. Jackson,nm0000168,School Daze,1988,6591,6.0,tt0096054,1
173,7232,Samuel L. Jackson,nm0000168,Magic Sticks,1987,182,5.2,tt0093474,1
174,7233,Samuel L. Jackson,nm0000168,Ragtime,1981,8854,7.3,tt0082970,1
175,7234,Samuel L. Jackson,nm0000168,The Exterminator,1980,5047,5.7,tt0080707,1
176,8633,Michelle Pfeiffer,nm0000201,French Exit,2020,498,6.5,tt10279362,1
177,8634,Michelle Pfeiffer,nm0000201,Avengers: Endgame,2019,849079,8.4,tt4154796,1
178,8635,Michelle Pfeiffer,nm0000201,Maleficent: Mistress of Evil,2019,87585,6.6,tt4777008,1
179,8636,Michelle Pfeiffer,nm0000201,Ant-Man and the Wasp,2018,319007,7.0,tt5095030,1
180,8637,Michelle Pfeiffer,nm0000201,Murder on the Orient Express,2017,216631,6.5,tt3402236,1
181,8638,Michelle Pfeiffer,nm0000201,Mother!,2017,194117,6.6,tt5109784,1
182,8639,Michelle Pfeiffer,nm0000201,Where Is Kyra?,2017,1464,5.5,tt5198670,1
183,8640,Michelle Pfeiffer,nm0000201,The Family,2013,111450,6.3,tt2404311,1
184,8641,Michelle Pfeiffer,nm0000201,Dark Shadows,2012,249393,6.2,tt1077368,1
185,8642,Michelle Pfeiffer,nm0000201,People Like Us,2012,41708,7.1,tt1716777,1
186,8643,Michelle Pfeiffer,nm0000201,New Year's Eve,2011,82579,5.7,tt1598822,1
187,8644,Michelle Pfeiffer,nm0000201,Cheri,2009,10692,6.2,tt1179258,1
188,8645,Michelle Pfeiffer,nm0000201,Personal Effects,2009,8330,6.2,tt1138489,1
189,8646,Michelle Pfeiffer,nm0000201,Stardust,2007,256932,7.6,tt0486655,1
190,8647,Michelle Pfeiffer,nm0000201,Hairspray,2007,120541,6.6,tt0427327,1
191,8648,Michelle Pfeiffer,nm0000201,I Could Never Be Your Woman,2007,17126,6.0,tt0466839,1
192,8649,Michelle Pfeiffer,nm0000201,Sinbad: Legend of the Seven Seas,2003,49932,6.7,tt0165982,1
193,8650,Michelle Pfeiffer,nm0000201,White Oleander,2002,29794,7.1,tt0283139,1
194,8651,Michelle Pfeiffer,nm0000201,I Am Sam,2001,143693,7.7,tt0277027,1
195,8652,Michelle Pfeiffer,nm0000201,What Lies Beneath,2000,118665,6.6,tt0161081,1
196,8653,Michelle Pfeiffer,nm0000201,A Midsummer Night's Dream,1999,24541,6.4,tt0140379,1
197,8654,Michelle Pfeiffer,nm0000201,The Story of Us,1999,21793,6.0,tt0160916,1
198,8655,Michelle Pfeiffer,nm0000201,The Deep End of the Ocean,1999,13202,6.4,tt0120646,1
199,8656,Michelle Pfeiffer,nm0000201,The Prince of Egypt,1998,120078,7.1,tt0120794,1
200,8657,Michelle Pfeiffer,nm0000201,A Thousand Acres,1997,5096,6.1,tt0120323,1
201,8658,Michelle Pfeiffer,nm0000201,One Fine Day,1996,43444,6.5,tt0117247,1
202,8659,Michelle Pfeiffer,nm0000201,Up Close & Personal,1996,13572,6.2,tt0118055,1
203,8660,Michelle Pfeiffer,nm0000201,To Gillian on Her 37th Birthday,1996,4612,5.8,tt0117924,1
204,8661,Michelle Pfeiffer,nm0000201,Dangerous Minds,1995,48911,6.6,tt0112792,1
205,8662,Michelle Pfeiffer,nm0000201,Wolf,1994,53007,6.3,tt0111742,1
206,8663,Michelle Pfeiffer,nm0000201,The Age of Innocence,1993,54320,7.2,tt0106226,1
207,8664,Michelle Pfeiffer,nm0000201,Batman Returns,1992,276864,7.0,tt0103776,1
208,8665,Michelle Pfeiffer,nm0000201,Love Field,1992,3688,6.6,tt0104765,1
209,8666,Michelle Pfeiffer,nm0000201,Frankie and Johnny,1991,29521,6.8,tt0101912,1
210,8667,Michelle Pfeiffer,nm0000201,The Russia House,1990,14815,6.1,tt0100530,1
211,8668,Michelle Pfeiffer,nm0000201,The Fabulous Baker Boys,1989,22010,6.9,tt0097322,1
212,8669,Michelle Pfeiffer,nm0000201,Dangerous Liaisons,1988,65112,7.6,tt0094947,1
213,8670,Michelle Pfeiffer,nm0000201,Tequila Sunrise,1988,29096,6.1,tt0096244,1
214,8671,Michelle Pfeiffer,nm0000201,Married to the Mob,1988,16149,6.2,tt0095593,1
215,8672,Michelle Pfeiffer,nm0000201,The Witches of Eastwick,1987,63095,6.6,tt0094332,1
216,8673,Michelle Pfeiffer,nm0000201,Amazon Women on the Moon,1987,10026,6.2,tt0092546,1
217,8674,Michelle Pfeiffer,nm0000201,Sweet Liberty,1986,2555,5.8,tt0092035,1
218,8675,Michelle Pfeiffer,nm0000201,Ladyhawke,1985,43685,7.0,tt0089457,1
219,8676,Michelle Pfeiffer,nm0000201,Into the Night,1985,11227,6.5,tt0089346,1
220,8677,Michelle Pfeiffer,nm0000201,Scarface,1983,751058,8.3,tt0086250,1
221,8678,Michelle Pfeiffer,nm0000201,Grease 2,1982,33185,4.4,tt0084021,1
222,8679,Michelle Pfeiffer,nm0000201,Charlie Chan and the Curse of the Dragon Queen,1981,1109,4.2,tt0082159,1
223,8680,Michelle Pfeiffer,nm0000201,The Hollywood Knights,1980,4247,6.3,tt0080881,1
224,8681,Michelle Pfeiffer,nm0000201,Falling in Love Again,1980,323,5.1,tt0080714,1
225,8731,Natalie Portman,nm0000204,Avengers: Endgame,2019,849079,8.4,tt4154796,1
