,index,Actor,ActorID,Film,Year,Votes,Rating,FilmID,in_endgame
290,12162,Angela Bassett,nm0000291,Of Boys and Men,2008,165,6.2,tt1023342,1
291,12163,Angela Bassett,nm0000291,Meet the Robinsons,2007,88580,6.8,tt0396555,1
292,12164,Angela Bassett,nm0000291,Akeelah and the Bee,2006,18677,7.3,tt0437800,1
293,12165,Angela Bassett,nm0000291,Mr. & Mrs. Smith,2005,453803,6.5,tt0356910,1
294,12166,Angela Bassett,nm0000291,Mr 3000,2004,13846,5.5,tt0339412,1
295,12167,Angela Bassett,nm0000291,The Lazarus Child,2004,961,5.0,tt0368836,1
296,12168,Angela Bassett,nm0000291,Masked and Anonymous,2003,4449,5.4,tt0319829,1
297,12169,Angela Bassett,nm0000291,Sunshine State,2002,3877,6.7,tt0286179,1
298,12170,Angela Bassett,nm0000291,The Score,2001,122320,6.8,tt0227445,1
299,12171,Angela Bassett,nm0000291,Supernova,2000,17164,4.9,tt0134983,1
300,12172,Angela Bassett,nm0000291,Whispers: An Elephant's Tale,2000,310,5.1,tt0185007,1
301,12173,Angela Bassett,nm0000291,Boesman and Lena,2000,241,6.1,tt0197311,1
302,12174,Angela Bassett,nm0000291,Music of the Heart,1999,11955,6.8,tt0166943,1
303,12175,Angela Bassett,nm0000291,How Stella Got Her Groove Back,1998,6954,5.7,tt0120703,1
304,12176,Angela Bassett,nm0000291,Contact,1997,256700,7.4,tt0118884,1
305,12177,Angela Bassett,nm0000291,Strange Days,1995,67703,7.2,tt0114558,1
306,12178,Angela Bassett,nm0000291,Vampire in Brooklyn,1995,22049,4.6,tt0114825,1
307,12179,Angela Bassett,nm0000291,Waiting to Exhale,1995,9688,6.0,tt0114885,1
308,12180,Angela Bassett,nm0000291,Panther,1995,2319,6.5,tt0114084,1
309,12181,Angela Bassett,nm0000291,What's Love Got to Do with It,1993,17312,7.3,tt0108551,1
310,12182,Angela Bassett,nm0000291,Malcolm X,1992,87180,7.7,tt0104797,1
311,12183,Angela Bassett,nm0000291,Innocent Blood,1992,9337,6.2,tt0104511,1
312,12184,Angela Bassett,nm0000291,Critters 4,1992,6883,4.1,tt0101628,1
313,12185,Angela Bassett,nm0000291,Passion Fish,1992,5074,7.4,tt0105107,1
314,12186,Angela Bassett,nm0000291,Boyz n the Hood,1991,127645,7.8,tt0101507,1
315,12187,Angela Bassett,nm0000291,City of Hope,1991,2276,7.3,tt0101588,1
316,12188,Angela Bassett,nm0000291,Kindergarten Cop,1990,137805,6.2,tt0099938,1
317,12189,Angela Bassett,nm0000291,F/X,1986,17780,6.7,tt0089118,1
318,13829,Don Cheadle,nm0000332,Avengers: Endgame,2019,849079,8.4,tt4154796,1
319,13830,Don Cheadle,nm0000332,Captain Marvel,2019,460391,6.9,tt4154664,1
320,13831,Don Cheadle,nm0000332,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
321,13832,Don Cheadle,nm0000332,Captain America: Civil War,2016,675997,7.8,tt3498820,1
322,13833,Don Cheadle,nm0000332,Kevin Hart: What Now?,2016,8996,5.9,tt4669186,1
323,13834,Don Cheadle,nm0000332,Avengers: Age of Ultron,2015,759655,7.3,tt2395427,1
324,13835,Don Cheadle,nm0000332,Miles Ahead,2015,9423,6.4,tt0790770,1
325,13836,Don Cheadle,nm0000332,Iron Man 3,2013,765019,7.1,tt1300854,1
326,13837,Don Cheadle,nm0000332,Flight,2012,328667,7.3,tt1907668,1
327,13838,Don Cheadle,nm0000332,The Guard,2011,81706,7.3,tt1540133,1
328,13839,Don Cheadle,nm0000332,Iron Man 2,2010,732064,7.0,tt1228705,1
329,13840,Don Cheadle,nm0000332,Brooklyn's Finest,2009,61196,6.7,tt1210042,1
330,13841,Don Cheadle,nm0000332,Hotel for Dogs,2009,21910,5.4,tt0785006,1
331,13842,Don Cheadle,nm0000332,Traitor,2008,55849,7.0,tt0988047,1
332,13843,Don Cheadle,nm0000332,Ocean's Thirteen,2007,324019,6.9,tt0496806,1
333,13844,Don Cheadle,nm0000332,Reign Over Me,2007,93337,7.4,tt0490204,1
334,13845,Don Cheadle,nm0000332,Talk to Me,2007,9440,7.3,tt0796368,1
335,13846,Don Cheadle,nm0000332,The Dog Problem,2006,3236,6.3,tt0486572,1
336,13847,Don Cheadle,nm0000332,Crash,2004,421664,7.7,tt0375679,1
337,13848,Don Cheadle,nm0000332,Ocean's Twelve,2004,362243,6.5,tt0349903,1
338,13849,Don Cheadle,nm0000332,Hotel Rwanda,2004,336811,8.1,tt0395169,1
339,13850,Don Cheadle,nm0000332,After the Sunset,2004,44949,6.3,tt0367479,1
340,13851,Don Cheadle,nm0000332,The Assassination of Richard Nixon,2004,25193,6.9,tt0364961,1
341,13852,Don Cheadle,nm0000332,The United States of Leland,2003,22770,7.1,tt0301976,1
342,13853,Don Cheadle,nm0000332,Ocean's Eleven,2001,521600,7.7,tt0240772,1
343,13854,Don Cheadle,nm0000332,Rush Hour 2,2001,201345,6.6,tt0266915,1
344,13855,Don Cheadle,nm0000332,Swordfish,2001,176924,6.5,tt0244244,1
345,13856,Don Cheadle,nm0000332,Manic,2001,9202,7.3,tt0252684,1
346,13857,Don Cheadle,nm0000332,Things Behind the Sun,2001,1351,6.8,tt0245501,1
347,13858,Don Cheadle,nm0000332,Traffic,2000,197099,7.6,tt0181865,1
348,13859,Don Cheadle,nm0000332,The Family Man,2000,104599,6.8,tt0218967,1
349,13860,Don Cheadle,nm0000332,Mission to Mars,2000,70650,5.7,tt0183523,1
350,13861,Don Cheadle,nm0000332,Out of Sight,1998,86895,7.0,tt0120780,1
351,13862,Don Cheadle,nm0000332,Bulworth,1998,24802,6.8,tt0118798,1
352,13863,Don Cheadle,nm0000332,Boogie Nights,1997,242018,7.9,tt0118749,1
353,13864,Don Cheadle,nm0000332,Volcano,1997,72545,5.5,tt0120461,1
354,13865,Don Cheadle,nm0000332,Rosewood,1997,7496,7.2,tt0120036,1
355,13866,Don Cheadle,nm0000332,Things to Do in Denver When You're Dead,1995,26290,6.8,tt0114660,1
356,13867,Don Cheadle,nm0000332,Devil in a Blue Dress,1995,17881,6.7,tt0112857,1
357,13868,Don Cheadle,nm0000332,The Meteor Man,1993,7754,5.2,tt0107563,1
358,13869,Don Cheadle,nm0000332,Roadside Prophets,1992,1198,6.5,tt0105267,1
359,13870,Don Cheadle,nm0000332,Colors,1988,24363,6.8,tt0094894,1
360,13871,Don Cheadle,nm0000332,Hamburger Hill,1987,23909,6.7,tt0093137,1
361,13872,Don Cheadle,nm0000332,Moving Violations,1985,3745,5.8,tt0089629,1
362,15652,Robert Downey Jr.,nm0000375,Dolittle,2020,50409,5.6,tt6673612,1
363,15653,Robert Downey Jr.,nm0000375,Avengers: Endgame,2019,849079,8.4,tt4154796,1
364,15654,Robert Downey Jr.,nm0000375,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
365,15655,Robert Downey Jr.,nm0000375,Spider-Man: Homecoming,2017,523789,7.4,tt2250912,1
366,15656,Robert Downey Jr.,nm0000375,Captain America: Civil War,2016,675997,7.8,tt3498820,1
367,15657,Robert Downey Jr.,nm0000375,The Nice Guys,2016,285399,7.4,tt3799694,1
368,15658,Robert Downey Jr.,nm0000375,Avengers: Age of Ultron,2015,759655,7.3,tt2395427,1
369,15659,Robert Downey Jr.,nm0000375,Chef,2014,198931,7.3,tt2883512,1
370,15660,Robert Downey Jr.,nm0000375,The Judge,2014,180554,7.4,tt1872194,1
371,15661,Robert Downey Jr.,nm0000375,Iron Man 3,2013,765019,7.1,tt1300854,1
372,15662,Robert Downey Jr.,nm0000375,The Avengers,2012,1273277,8.0,tt0848228,1
373,15663,Robert Downey Jr.,nm0000375,Sherlock Holmes: A Game of Shadows,2011,423556,7.5,tt1515091,1
374,15664,Robert Downey Jr.,nm0000375,Iron Man 2,2010,732064,7.0,tt1228705,1
375,15665,Robert Downey Jr.,nm0000375,Due Date,2010,325626,6.5,tt1231583,1
376,15666,Robert Downey Jr.,nm0000375,Sherlock Holmes,2009,587083,7.6,tt0988045,1
377,15667,Robert Downey Jr.,nm0000375,The Soloist,2009,51753,6.7,tt0821642,1
378,15668,Robert Downey Jr.,nm0000375,Iron Man,2008,951095,7.9,tt0371746,1
379,15669,Robert Downey Jr.,nm0000375,The Incredible Hulk,2008,439469,6.7,tt0800080,1
380,15670,Robert Downey Jr.,nm0000375,Tropic Thunder,2008,381427,7.0,tt0942385,1
381,15671,Robert Downey Jr.,nm0000375,Zodiac,2007,474372,7.7,tt0443706,1
382,15672,Robert Downey Jr.,nm0000375,Charlie Bartlett,2007,63293,7.0,tt0423977,1
383,15673,Robert Downey Jr.,nm0000375,Lucky You,2007,20100,5.9,tt0338216,1
384,15674,Robert Downey Jr.,nm0000375,A Scanner Darkly,2006,107056,7.1,tt0405296,1
385,15675,Robert Downey Jr.,nm0000375,A Guide to Recognizing Your Saints,2006,25065,7.0,tt0473488,1
386,15676,Robert Downey Jr.,nm0000375,The Shaggy Dog,2006,18293,4.4,tt0393735,1
387,15677,Robert Downey Jr.,nm0000375,Fur: An Imaginary Portrait of Diane Arbus,2006,15318,6.5,tt0422295,1
388,15678,Robert Downey Jr.,nm0000375,Kiss Kiss Bang Bang,2005,216265,7.5,tt0373469,1
389,15679,Robert Downey Jr.,nm0000375,"Good Night, and Good Luck.",2005,94538,7.4,tt0433383,1
390,15680,Robert Downey Jr.,nm0000375,Game 6,2005,2467,5.8,tt0425055,1
391,15681,Robert Downey Jr.,nm0000375,Eros,2004,6265,6.0,tt0343663,1
392,15682,Robert Downey Jr.,nm0000375,Gothika,2003,107128,5.8,tt0348836,1
393,15683,Robert Downey Jr.,nm0000375,The Singing Detective,2003,8196,5.5,tt0314676,1
394,15684,Robert Downey Jr.,nm0000375,Wonder Boys,2000,61650,7.2,tt0185014,1
395,15685,Robert Downey Jr.,nm0000375,Bowfinger,1999,67087,6.4,tt0131325,1
396,15686,Robert Downey Jr.,nm0000375,In Dreams,1999,12399,5.5,tt0120710,1
397,15687,Robert Downey Jr.,nm0000375,Black & White,1999,5526,4.9,tt0165643,1
398,15688,Robert Downey Jr.,nm0000375,Friends & Lovers,1999,1440,4.5,tt0143261,1
399,15689,Robert Downey Jr.,nm0000375,U.S. Marshals,1998,96614,6.6,tt0120873,1
400,15690,Robert Downey Jr.,nm0000375,The Gingerbread Man,1998,10581,5.7,tt0119196,1
401,15691,Robert Downey Jr.,nm0000375,Two Girls and a Guy,1997,6811,5.5,tt0124179,1
402,15692,Robert Downey Jr.,nm0000375,One Night Stand,1997,6579,5.8,tt0119832,1
403,15693,Robert Downey Jr.,nm0000375,Hugo Pool,1997,1864,5.1,tt0119327,1
404,15694,Robert Downey Jr.,nm0000375,Danger Zone,1996,750,4.5,tt0116016,1
405,15695,Robert Downey Jr.,nm0000375,Richard III,1995,13860,7.4,tt0114279,1
406,15696,Robert Downey Jr.,nm0000375,Home for the Holidays,1995,12223,6.6,tt0113321,1
407,15697,Robert Downey Jr.,nm0000375,Restoration,1995,8934,6.6,tt0114272,1
408,15698,Robert Downey Jr.,nm0000375,Natural Born Killers,1994,218676,7.3,tt0110632,1
409,15699,Robert Downey Jr.,nm0000375,Only You,1994,20971,6.5,tt0110737,1
410,15700,Robert Downey Jr.,nm0000375,Hail Caesar,1994,1054,3.3,tt0109969,1
411,15701,Robert Downey Jr.,nm0000375,Short Cuts,1993,42543,7.7,tt0108122,1
412,15702,Robert Downey Jr.,nm0000375,Heart and Souls,1993,16345,7.0,tt0107091,1
413,15703,Robert Downey Jr.,nm0000375,Chaplin,1992,54114,7.6,tt0103939,1
414,15704,Robert Downey Jr.,nm0000375,Soapdish,1991,14714,6.6,tt0102951,1
415,15705,Robert Downey Jr.,nm0000375,Air America,1990,27150,5.9,tt0099005,1
416,15706,Robert Downey Jr.,nm0000375,Too Much Sun,1990,385,4.0,tt0103100,1
417,15707,Robert Downey Jr.,nm0000375,Chances Are,1989,10731,6.5,tt0097044,1
418,15708,Robert Downey Jr.,nm0000375,True Believer,1989,4437,6.7,tt0098524,1
419,15709,Robert Downey Jr.,nm0000375,That's Adequate,1989,194,4.6,tt0098464,1
420,15710,Robert Downey Jr.,nm0000375,Johnny Be Good,1988,6181,4.6,tt0095409,1
421,15711,Robert Downey Jr.,nm0000375,1969,1988,3542,5.8,tt0094594,1
422,15712,Robert Downey Jr.,nm0000375,Rented Lips,1988,288,3.9,tt0095978,1
423,15713,Robert Downey Jr.,nm0000375,Less Than Zero,1987,18457,6.5,tt0093407,1
424,15714,Robert Downey Jr.,nm0000375,The Pick-up Artist,1987,6527,5.4,tt0093737,1
425,15715,Robert Downey Jr.,nm0000375,Back to School,1986,28556,6.7,tt0090685,1
426,15716,Robert Downey Jr.,nm0000375,America,1986,126,4.9,tt0090629,1
427,15717,Robert Downey Jr.,nm0000375,Weird Science,1985,80887,6.6,tt0090305,1
428,15718,Robert Downey Jr.,nm0000375,Girls Just Want to Have Fun,1985,9939,6.0,tt0089208,1
429,15719,Robert Downey Jr.,nm0000375,Tuff Turf,1985,4298,6.2,tt0090213,1
430,15720,Robert Downey Jr.,nm0000375,Firstborn,1984,2205,6.3,tt0087263,1
431,15721,Robert Downey Jr.,nm0000375,Baby It's You,1983,1705,6.3,tt0085208,1
432,15722,Robert Downey Jr.,nm0000375,Up the Academy,1980,1570,4.9,tt0081695,1
433,15723,Robert Downey Jr.,nm0000375,Greaser's Palace,1972,910,5.9,tt0068659,1
434,15724,Robert Downey Jr.,nm0000375,Pound,1970,242,6.0,tt0066234,1
435,19099,William Hurt,nm0000458,Avengers: Endgame,2019,849079,8.4,tt4154796,1
436,19100,William Hurt,nm0000458,The Last Full Measure,2019,8484,6.8,tt0783640,1
437,19101,William Hurt,nm0000458,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
438,19102,William Hurt,nm0000458,The Miracle Season,2018,4736,6.5,tt5427194,1
439,19103,William Hurt,nm0000458,Captain America: Civil War,2016,675997,7.8,tt3498820,1
440,19104,William Hurt,nm0000458,Race,2016,35169,7.1,tt3499096,1
441,19105,William Hurt,nm0000458,Winter's Tale,2014,52505,6.2,tt1837709,1
442,19106,William Hurt,nm0000458,The Disappearance of Eleanor Rigby: Them,2014,11825,6.3,tt3729920,1
443,19107,William Hurt,nm0000458,Days and Nights,2014,949,4.8,tt2359381,1
444,19108,William Hurt,nm0000458,The Host,2013,111318,5.9,tt1517260,1
445,19109,William Hurt,nm0000458,The Disappearance of Eleanor Rigby: Her,2013,8731,6.9,tt3720788,1
446,19110,William Hurt,nm0000458,J'enrage de son absence,2012,226,6.2,tt1847616,1
447,19111,William Hurt,nm0000458,Late Bloomers,2011,932,5.7,tt1572502,1
448,19112,William Hurt,nm0000458,Hellgate,2011,740,4.5,tt1430116,1
449,19113,William Hurt,nm0000458,Robin Hood,2010,254671,6.6,tt0955308,1
450,19114,William Hurt,nm0000458,The River Why,2010,3101,5.7,tt1241329,1
451,19115,William Hurt,nm0000458,The Countess,2009,7720,6.2,tt0496634,1
452,19116,William Hurt,nm0000458,Endgame,2009,2620,6.2,tt1217616,1
453,19117,William Hurt,nm0000458,The Incredible Hulk,2008,439469,6.7,tt0800080,1
454,19118,William Hurt,nm0000458,Vantage Point,2008,145220,6.6,tt0443274,1
455,19119,William Hurt,nm0000458,The Yellow Handkerchief,2008,8202,6.7,tt0954990,1
456,19120,William Hurt,nm0000458,Into the Wild,2007,579421,8.1,tt0758758,1
457,19121,William Hurt,nm0000458,Mr. Brooks,2007,144301,7.3,tt0780571,1
458,19122,William Hurt,nm0000458,Noise,2007,4209,6.2,tt0425308,1
459,19123,William Hurt,nm0000458,The Good Shepherd,2006,98829,6.7,tt0343737,1
460,19124,William Hurt,nm0000458,Beautiful Ohio,2006,467,5.8,tt0479275,1
461,19125,William Hurt,nm0000458,The Legend of Sasquatch,2006,111,4.1,tt0491027,1
462,19126,William Hurt,nm0000458,A History of Violence,2005,225374,7.4,tt0399146,1
463,19127,William Hurt,nm0000458,Syriana,2005,126360,6.9,tt0365737,1
464,19128,William Hurt,nm0000458,The King,2005,7088,6.7,tt0396688,1
465,19129,William Hurt,nm0000458,Neverwas,2005,6499,6.6,tt0418004,1
466,19130,William Hurt,nm0000458,The Village,2004,244673,6.5,tt0368447,1
467,19131,William Hurt,nm0000458,The Blue Butterfly,2004,1496,6.3,tt0313300,1
468,19132,William Hurt,nm0000458,Changing Lanes,2002,67371,6.5,tt0264472,1
469,19133,William Hurt,nm0000458,Tuck Everlasting,2002,21279,6.6,tt0283084,1
470,19134,William Hurt,nm0000458,Nearest to Heaven,2002,494,5.4,tt0290435,1
471,19135,William Hurt,nm0000458,A.I. Artificial Intelligence,2001,292055,7.2,tt0212720,1
472,19136,William Hurt,nm0000458,Rare Birds,2001,1574,6.4,tt0295552,1
473,19137,William Hurt,nm0000458,The Miracle Maker,2000,1431,6.9,tt0208298,1
474,19138,William Hurt,nm0000458,Contaminated Man,2000,1031,4.9,tt0221885,1
475,19139,William Hurt,nm0000458,The Simian Line,2000,363,5.4,tt0186549,1
476,19140,William Hurt,nm0000458,Sunshine,1999,13120,7.5,tt0145503,1
477,19141,William Hurt,nm0000458,The 4th Floor,1999,4706,5.8,tt0167752,1
478,19142,William Hurt,nm0000458,Do Not Disturb,1999,2445,5.0,tt0185284,1
479,19143,William Hurt,nm0000458,The Big Brass Ring,1999,700,5.3,tt0115675,1
480,19144,William Hurt,nm0000458,Dark City,1998,189049,7.6,tt0118929,1
481,19145,William Hurt,nm0000458,Lost in Space,1998,69655,5.2,tt0120738,1
482,19146,William Hurt,nm0000458,One True Thing,1998,11394,7.0,tt0120776,1
483,19147,William Hurt,nm0000458,The Proposition,1998,2084,6.2,tt0120108,1
484,19148,William Hurt,nm0000458,Loved,1997,546,4.8,tt0119581,1
485,19149,William Hurt,nm0000458,Michael,1996,41174,5.7,tt0117038,1
486,19150,William Hurt,nm0000458,Jane Eyre,1996,9127,6.8,tt0116684,1
487,19151,William Hurt,nm0000458,A Couch in New York,1996,2031,6.0,tt0118018,1
488,19152,William Hurt,nm0000458,Smoke,1995,33288,7.4,tt0114478,1
489,19153,William Hurt,nm0000458,Trial by Jury,1994,1718,5.4,tt0111488,1
490,19154,William Hurt,nm0000458,Second Best,1994,1575,6.8,tt0111102,1
491,19155,William Hurt,nm0000458,Mr. Wonderful,1993,3136,5.9,tt0107613,1
492,19156,William Hurt,nm0000458,The Plague,1992,829,5.8,tt0105127,1
493,19157,William Hurt,nm0000458,Until the End of the World,1991,9253,6.8,tt0101458,1
494,19158,William Hurt,nm0000458,The Doctor,1991,5127,7.0,tt0101746,1
495,19159,William Hurt,nm0000458,I Love You to Death,1990,13562,6.4,tt0099819,1
496,19160,William Hurt,nm0000458,Alice,1990,13500,6.6,tt0099012,1
497,19161,William Hurt,nm0000458,The Accidental Tourist,1988,14898,6.8,tt0094606,1
498,19162,William Hurt,nm0000458,A Time of Destiny,1988,356,5.1,tt0096271,1
499,19163,William Hurt,nm0000458,Broadcast News,1987,27508,7.2,tt0092699,1
500,19164,William Hurt,nm0000458,Children of a Lesser God,1986,15159,7.2,tt0090830,1
501,19165,William Hurt,nm0000458,Kiss of the Spider Woman,1985,14373,7.4,tt0089424,1
502,19166,William Hurt,nm0000458,The Big Chill,1983,33262,7.2,tt0085244,1
503,19167,William Hurt,nm0000458,Gorky Park,1983,12836,6.8,tt0085615,1
504,19168,William Hurt,nm0000458,Body Heat,1981,31237,7.4,tt0082089,1
505,19169,William Hurt,nm0000458,Eyewitness,1981,4375,6.0,tt0082353,1
506,19170,William Hurt,nm0000458,Altered States,1980,32484,6.9,tt0080360,1
507,23506,Gwyneth Paltrow,nm0000569,Avengers: Endgame,2019,849079,8.4,tt4154796,1
508,23507,Gwyneth Paltrow,nm0000569,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
509,23508,Gwyneth Paltrow,nm0000569,Spider-Man: Homecoming,2017,523789,7.4,tt2250912,1
510,23509,Gwyneth Paltrow,nm0000569,Mortdecai,2015,68347,5.5,tt3045616,1
511,23510,Gwyneth Paltrow,nm0000569,Iron Man 3,2013,765019,7.1,tt1300854,1
512,23511,Gwyneth Paltrow,nm0000569,The Avengers,2012,1273277,8.0,tt0848228,1
513,23512,Gwyneth Paltrow,nm0000569,Thanks for Sharing,2012,26899,6.4,tt1932718,1
514,23513,Gwyneth Paltrow,nm0000569,Contagion,2011,285741,6.7,tt1598778,1
515,23514,Gwyneth Paltrow,nm0000569,Iron Man 2,2010,732064,7.0,tt1228705,1
516,23515,Gwyneth Paltrow,nm0000569,Country Strong,2010,17423,6.3,tt1555064,1
517,23516,Gwyneth Paltrow,nm0000569,Iron Man,2008,951095,7.9,tt0371746,1
518,23517,Gwyneth Paltrow,nm0000569,Two Lovers,2008,38142,7.0,tt1103275,1
519,23518,Gwyneth Paltrow,nm0000569,The Good Night,2007,8233,5.8,tt0484111,1
520,23519,Gwyneth Paltrow,nm0000569,Running with Scissors,2006,21958,6.2,tt0439289,1
521,23520,Gwyneth Paltrow,nm0000569,Infamous,2006,16349,7.0,tt0420609,1
522,23521,Gwyneth Paltrow,nm0000569,Love and Other Disasters,2006,13786,6.2,tt0452643,1
523,23522,Gwyneth Paltrow,nm0000569,Proof,2005,43329,6.7,tt0377107,1
524,23523,Gwyneth Paltrow,nm0000569,Sky Captain and the World of Tomorrow,2004,81870,6.0,tt0346156,1
525,23524,Gwyneth Paltrow,nm0000569,View from the Top,2003,25707,5.3,tt0264150,1
526,23525,Gwyneth Paltrow,nm0000569,Sylvia,2003,10423,6.3,tt0325055,1
527,23526,Gwyneth Paltrow,nm0000569,Austin Powers in Goldmember,2002,196881,6.2,tt0295178,1
528,23527,Gwyneth Paltrow,nm0000569,Possession,2002,12903,6.3,tt0256276,1
529,23528,Gwyneth Paltrow,nm0000569,The Royal Tenenbaums,2001,269526,7.6,tt0265666,1
530,23529,Gwyneth Paltrow,nm0000569,Shallow Hal,2001,128136,5.9,tt0256380,1
531,23530,Gwyneth Paltrow,nm0000569,The Anniversary Party,2001,8024,6.3,tt0254099,1
532,23531,Gwyneth Paltrow,nm0000569,Bounce,2000,20081,5.7,tt0186894,1
533,23532,Gwyneth Paltrow,nm0000569,Duets,2000,9174,6.1,tt0134630,1
534,23533,Gwyneth Paltrow,nm0000569,Dogma,1999,208577,7.3,tt0120655,1
535,23534,Gwyneth Paltrow,nm0000569,The Talented Mr. Ripley,1999,183989,7.4,tt0134119,1
536,23535,Gwyneth Paltrow,nm0000569,Shakespeare in Love,1998,215356,7.1,tt0138097,1
537,23536,Gwyneth Paltrow,nm0000569,A Perfect Murder,1998,80079,6.5,tt0120787,1
538,23537,Gwyneth Paltrow,nm0000569,Sliding Doors,1998,64096,6.7,tt0120148,1
539,23538,Gwyneth Paltrow,nm0000569,Great Expectations,1998,51507,6.9,tt0119223,1
540,23539,Gwyneth Paltrow,nm0000569,Hush,1998,10812,5.5,tt0118744,1
541,23540,Gwyneth Paltrow,nm0000569,Hard Eight,1996,43201,7.2,tt0119256,1
542,23541,Gwyneth Paltrow,nm0000569,Emma,1996,36319,6.6,tt0116191,1
543,23542,Gwyneth Paltrow,nm0000569,The Pallbearer,1996,7845,4.9,tt0117283,1
544,23543,Gwyneth Paltrow,nm0000569,Se7en,1995,1464270,8.6,tt0114369,1
545,23544,Gwyneth Paltrow,nm0000569,Higher Learning,1995,18290,6.5,tt0113305,1
546,23545,Gwyneth Paltrow,nm0000569,Moonlight and Valentino,1995,3485,5.7,tt0113851,1
547,23546,Gwyneth Paltrow,nm0000569,Jefferson in Paris,1995,2801,5.8,tt0113463,1
548,23547,Gwyneth Paltrow,nm0000569,Mrs. Parker and the Vicious Circle,1994,4227,6.4,tt0110588,1
549,23548,Gwyneth Paltrow,nm0000569,Malice,1993,23041,6.4,tt0107497,1
550,23549,Gwyneth Paltrow,nm0000569,Flesh and Bone,1993,4965,6.2,tt0106926,1
551,23550,Gwyneth Paltrow,nm0000569,Hook,1991,237145,6.8,tt0102057,1
552,23551,Gwyneth Paltrow,nm0000569,Shout,1991,1796,5.3,tt0102913,1
553,24669,Robert Redford,nm0000602,Avengers: Endgame,2019,849079,8.4,tt4154796,1
554,24670,Robert Redford,nm0000602,The Old Man & the Gun,2018,41112,6.7,tt2837574,1
555,24671,Robert Redford,nm0000602,"Buttons, A New Musical Film",2018,390,5.4,tt9248032,1
556,24672,Robert Redford,nm0000602,The Discovery,2017,30354,6.3,tt5155780,1
557,24673,Robert Redford,nm0000602,Our Souls at Night,2017,11746,6.9,tt5034266,1
558,24674,Robert Redford,nm0000602,Pete's Dragon,2016,54540,6.7,tt2788732,1
559,24675,Robert Redford,nm0000602,A Walk in the Woods,2015,25221,6.4,tt1178665,1
560,24676,Robert Redford,nm0000602,Truth,2015,19056,6.8,tt3859076,1
561,24677,Robert Redford,nm0000602,Captain America: The Winter Soldier,2014,747142,7.7,tt1843866,1
562,24678,Robert Redford,nm0000602,All Is Lost,2013,76649,6.9,tt2017038,1
563,24679,Robert Redford,nm0000602,The Company You Keep,2012,31911,6.4,tt1381404,1
564,24680,Robert Redford,nm0000602,Lions for Lambs,2007,47684,6.2,tt0891527,1
565,24681,Robert Redford,nm0000602,Charlotte's Web,2006,37746,6.3,tt0413895,1
566,24682,Robert Redford,nm0000602,An Unfinished Life,2005,29138,7.0,tt0350261,1
567,24683,Robert Redford,nm0000602,The Clearing,2004,13288,5.8,tt0331952,1
568,24684,Robert Redford,nm0000602,Spy Game,2001,146887,7.1,tt0266987,1
569,24685,Robert Redford,nm0000602,The Last Castle,2001,73054,7.0,tt0272020,1
570,24686,Robert Redford,nm0000602,The Horse Whisperer,1998,39196,6.6,tt0119314,1
571,24687,Robert Redford,nm0000602,Up Close & Personal,1996,13572,6.2,tt0118055,1
572,24688,Robert Redford,nm0000602,Indecent Proposal,1993,64749,6.0,tt0107211,1
573,24689,Robert Redford,nm0000602,A River Runs Through It,1992,54210,7.2,tt0105265,1
574,24690,Robert Redford,nm0000602,Sneakers,1992,53024,7.1,tt0105435,1
575,24691,Robert Redford,nm0000602,Havana,1990,7285,6.1,tt0099747,1
576,24692,Robert Redford,nm0000602,Legal Eagles,1986,10098,6.0,tt0091396,1
577,24693,Robert Redford,nm0000602,Out of Africa,1985,73756,7.2,tt0089755,1
578,24694,Robert Redford,nm0000602,The Natural,1984,44570,7.5,tt0087781,1
579,24695,Robert Redford,nm0000602,Brubaker,1980,16166,7.2,tt0080474,1
580,24696,Robert Redford,nm0000602,The Electric Horseman,1979,7516,6.4,tt0079100,1
581,24697,Robert Redford,nm0000602,A Bridge Too Far,1977,52698,7.4,tt0075784,1
582,24698,Robert Redford,nm0000602,All the President's Men,1976,104449,7.9,tt0074119,1
583,24699,Robert Redford,nm0000602,Three Days of the Condor,1975,48817,7.4,tt0073802,1
584,24700,Robert Redford,nm0000602,The Great Waldo Pepper,1975,5423,6.7,tt0073075,1
585,24701,Robert Redford,nm0000602,The Great Gatsby,1974,23651,6.4,tt0071577,1
586,24702,Robert Redford,nm0000602,The Sting,1973,243663,8.3,tt0070735,1
587,24703,Robert Redford,nm0000602,The Way We Were,1973,22733,7.1,tt0070903,1
588,24704,Robert Redford,nm0000602,Jeremiah Johnson,1972,28937,7.6,tt0068762,1
589,24705,Robert Redford,nm0000602,The Candidate,1972,10050,7.0,tt0068334,1
590,24706,Robert Redford,nm0000602,The Hot Rock,1972,5113,6.8,tt0068718,1
591,24707,Robert Redford,nm0000602,Little Fauss and Big Halsy,1970,1097,6.0,tt0065989,1
592,24708,Robert Redford,nm0000602,Butch Cassidy and the Sundance Kid,1969,203074,8.0,tt0064115,1
593,24709,Robert Redford,nm0000602,Downhill Racer,1969,4266,6.4,tt0064253,1
